18 март – 14 апр. 2021;5;3;Внедрение версии: Внедрение версии 1 (1.0) запущено для 100% пользователей.
15 апр. – 12 май 2021;4,167;3,6;Внедрение версии: Внедрение версии 3 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 4 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 5 (1.0) запущено для 100% пользователей.
13 май – 9 июнь 2021;2,364;3,6;Внедрение версии: Внедрение версии 6 (1.0) запущено для 100% пользователей.
10 июнь – 7 июль 2021;1,75;4,176;
8 июль – 4 авг. 2021;2,722;-;
5 авг. – 1 сент. 2021;3;-;
2 – 29 сент. 2021;3,407;4,723;Внедрение версии: Внедрение версии 8 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 9 (1.1) запущено для 100% пользователей.
30 сент. – 27 окт. 2021;2,476;1;
28 окт. – 24 нояб. 2021;3,548;4,455;Внедрение версии: Внедрение версии 10 (1.1) запущено для 100% пользователей.
25 нояб. – 22 дек. 2021;3,17;4,364;
23 дек. 2021 г. – 19 янв. 2022 г.;3,5;4,218;
20 янв. – 16 февр. 2022;3,368;4,218;
17 февр. – 16 март 2022;3,3;4,941;
17 март – 13 апр. 2022;2,533;3,716;
14 апр. – 11 май 2022;2,933;4,579;Внедрение версии: Внедрение версии 11 (1.2) запущено для 20% пользователей. Внедрение версии: Внедрение версии 12 (1.2) запущено для 100% пользователей. Внедрение версии: Внедрение версии 11 (1.2) остановлено.
12 май – 8 июнь 2022;2,852;1;
9 июнь – 6 июль 2022;2,176;1;Внедрение версии: Внедрение версии 13 (1.2.1) запущено для 100% пользователей. Внедрение версии: Внедрение версии 14 (1.3) запущено для 100% пользователей.
7 июль – 3 авг. 2022;2,667;4,3;Внедрение версии: Внедрение версии 15 (1.3.1) запущено для 100% пользователей.
4 – 31 авг. 2022;2;4,308;
1 – 28 сент. 2022;1,769;4,586;
29 сент. – 26 окт. 2022;2,857;4,417;
27 окт. – 23 нояб. 2022;2,667;4,596;Внедрение версии: Внедрение версии 30 (1.4) запущено для 100% пользователей. Внедрение версии: Внедрение версии 31 (1.4) запущено для 100% пользователей. Внедрение версии: Внедрение версии 32 (1.4) запущено для 20% пользователей. Внедрение версии: Внедрение версии 32 (1.4) расширено до 100% пользователей.
24 нояб. – 21 дек. 2022;2,765;4,377;Внедрение версии: Внедрение версии Важные изменения запущено для 100% пользователей. Внедрение версии: Внедрение версии 43 (2.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 2.1 запущено для 100% пользователей.
