апр. 2021 г.;5;Внедрение версии: Внедрение версии 1 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 3 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 4 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 5 (1.0) запущено для 100% пользователей.
май 2021 г.;3,4;
июнь 2021 г.;1,882;Внедрение версии: Внедрение версии 6 (1.0) запущено для 100% пользователей.
июль 2021 г.;2,722;
авг. 2021 г.;3,083;
сент. 2021 г.;3,258;Внедрение версии: Внедрение версии 8 (1.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 9 (1.1) запущено для 100% пользователей.
окт. 2021 г.;2,55;
нояб. 2021 г.;3,333;Внедрение версии: Внедрение версии 10 (1.1) запущено для 100% пользователей.
дек. 2021 г.;3,319;
янв. 2022 г.;3,5;
февр. 2022 г.;3,269;
март 2022 г.;3,15;
апр. 2022 г.;2,522;
май 2022 г.;3,114;Внедрение версии: Внедрение версии 11 (1.2) запущено для 20% пользователей. Внедрение версии: Внедрение версии 11 (1.2) остановлено. Внедрение версии: Внедрение версии 12 (1.2) запущено для 100% пользователей.
июнь 2022 г.;2;Внедрение версии: Внедрение версии 13 (1.2.1) запущено для 100% пользователей. Внедрение версии: Внедрение версии 14 (1.3) запущено для 100% пользователей.
июль 2022 г.;2,773;Внедрение версии: Внедрение версии 15 (1.3.1) запущено для 100% пользователей.
авг. 2022 г.;1,95;
сент. 2022 г.;2;
окт. 2022 г.;2,5;
нояб. 2022 г.;2,639;Внедрение версии: Внедрение версии 30 (1.4) запущено для 100% пользователей. Внедрение версии: Внедрение версии 31 (1.4) запущено для 100% пользователей. Внедрение версии: Внедрение версии 32 (1.4) запущено для 20% пользователей. Внедрение версии: Внедрение версии 32 (1.4) расширено до 100% пользователей. Внедрение версии: Внедрение версии Важные изменения запущено для 100% пользователей.
дек. 2022 г.;2,75;Внедрение версии: Внедрение версии 43 (2.0) запущено для 100% пользователей. Внедрение версии: Внедрение версии 2.1 запущено для 100% пользователей. Внедрение версии: Внедрение версии 46 (2.0) запущено для 100% пользователей.
янв. 2023 г.;2,833;
февр. 2023 г.;2,727;
март 2023 г.;3,25;
апр. 2023 г.;3,444;
май 2023 г.;3,3;
июнь 2023 г.;2,52;
июль 2023 г.;2,852;
авг. 2023 г.;2,558;Внедрение версии: Внедрение версии 51 (3.0) запущено для 10% пользователей. Внедрение версии: Внедрение версии 51 (3.0) расширено до 30% пользователей. Внедрение версии: Внедрение версии 51 (3.0) расширено до 100% пользователей.
сент. 2023 г.;2,475;Внедрение версии: Внедрение версии 53 (3.3) запущено для 20% пользователей. Внедрение версии: Внедрение версии 53 (3.3) расширено до 0% пользователей.
